0048.wav|تین ہزار سات سو پچاس PKR = تین اعشاریہ ایک EUR
0049.wav|معاف کیجیے، میں سمجھ نہیں سکا۔ براہ کرم دوبارہ واضح طور پر بتائیں۔
0050.wav|اگر آپ کبھی بھی ہمارے قرض کے آپشنز کے بارے میں جاننا چاہیں تو ہمیں بتائیں۔
0051.wav|ہماری ٹیم دو کاروباری دنوں میں آپ سے رابطہ کرے گی۔
0052.wav|اگر آپ کا ارادہ بدل جائے تو ہمیں بتائیں۔
0053.wav|تمام برانچز صبح نو بجے کھلتی ہیں اور شام پانچ بجے بند ہوتی ہیں۔
0054.wav|ہماری ٹیم آپ سے رابطہ کرے گی۔
0055.wav|غلط کرنسی کوڈ۔ براہ کرم معیاری تین حروف کا کوڈ استعمال کریں، مثلاً یو ایس ڈی، پی کے آر۔
0056.wav|غلط اکاؤنٹ نمبر۔ یہ دس سے بیس ہندسوں کے درمیان ہونا چاہیے۔
0057.wav|اکاؤنٹ نہیں ملا۔
0058.wav|رقم منفی نہیں ہو سکتی۔
0059.wav|رقم بہت زیادہ ہے۔ براہ کرم بینک سے براہ راست رابطہ کریں۔
0060.wav|رقم ایک عدد ہونی چاہیے۔
0061.wav|شہر کا نام تصدیق نہیں ہو سکا۔ براہ کرم درست شہر کا نام درج کریں۔
0062.wav|براہ کرم 'ہاں' یا 'نہیں' میں جواب دیں۔
0063.wav|آپ اپنے ہی اکاؤنٹ میں رقم نہیں بھیج سکتے۔
0064.wav|براہ کرم اپنا اکاؤنٹ نمبر بتائیں۔
0065.wav|براہ کرم وہ اکاؤنٹ نمبر بتائیں جہاں سے آپ رقم بھیجنا چاہتے ہیں۔
0066.wav|براہ کرم اکاؤنٹ نمبر بتائیں۔
0067.wav|براہ کرم وصول کنندہ کا اکاؤنٹ نمبر بتائیں۔
0068.wav|براہ کرم رقم بتائیں۔
0069.wav|براہ کرم کرنسی بتائیں، مثلاً یو ایس ڈی یا پی کے آر۔
0070.wav|براہ کرم وہ کرنسی بتائیں جس سے تبدیل کرنا ہے۔
0071.wav|براہ کرم وہ کرنسی بتائیں جس میں تبدیل کرنا ہے۔
0072.wav|براہ کرم شہر کا نام بتائیں۔
0073.wav|کیا آپ ہمارے قرض کے آپشنز کے بارے میں جاننا چاہیں گے؟ (ہاں یا نہیں)
0074.wav|کیا آپ کو قرض میں دلچسپی ہے؟ کیا ہماری ٹیم آپ سے رابطہ کرے؟ (ہاں یا نہیں)
0075.wav|ABHI کئی طرح کے قرضے پیش کرتا ہے، جیسے ٹریکٹر لون، موٹرسائیکل لون اور کاروباری قرضہ۔
0076.wav|کاشتکار قرضہ خاص طور پر کسانوں کی مالی ضروریات پوری کرنے کے لیے بنایا گیا ہے۔
0077.wav|نسواں قرضہ خواتین کاروباری افراد کے لیے ایک قلیل مدتی سہولت ہے۔
0078.wav|آسان اکاؤنٹ میں کوئی کم از کم بیلنس یا لین دین کی شرط نہیں ہے۔
0079.wav|روزانہ منافع اکاؤنٹ آپ کو روزانہ کی بنیاد پر بچت کرنے کا موقع دیتا ہے۔
0080.wav|سہولت کرنٹ اکاؤنٹ کاروباری افراد کے لیے سب سے بہتر انتخاب ہے۔
0081.wav|اعتماد بچت اکاؤنٹ آپ کے مستقبل کو محفوظ بنانے کے لیے بہترین ہے۔
0082.wav|سنہری قرضہ آپ کے سونے کے زیورات کو کاروباری سرمائے میں تبدیل کرتا ہے۔
0083.wav|معذرت، اس سوال کا جواب دستیاب معلومات میں موجود نہیں ہے۔
0084.wav|براہ کرم مزید تفصیلات کے لیے قریبی برانچ سے رابطہ کریں۔
0085.wav|ہمارے تمام قرضہ جات کی شرح سود مسابقتی اور آسان اقساط پر مبنی ہے۔
0086.wav|اے بی ایچ آئی بینک ایپ کے ذریعے آپ گھر بیٹھے تمام سہولات حاصل کر سکتے ہیں۔
0087.wav|بارہ روپے
0088.wav|پندرہ روپے
0089.wav|اٹھائیس روپے
0090.wav|بیالیس روپے
0091.wav|سڑسٹھ روپے
0092.wav|ننانوے روپے
0093.wav|ایک سو روپے
0094.wav|ایک سو پینتیس روپے
0095.wav|تین سو پچاس روپے
0096.wav|چار سو اسی روپے
0097.wav|نو سو ننانوے روپے
0098.wav|ایک ہزار روپے
0099.wav|دو ہزار پانچ سو روپے
0100.wav|چار ہزار پانچ سو روپے
0101.wav|سات ہزار آٹھ سو روپے
0102.wav|نو ہزار نو سو ننانوے روپے
0103.wav|دس ہزار روپے
0104.wav|پندرہ ہزار پانچ سو روپے
0105.wav|پچیس ہزار روپے
0106.wav|اڑتالیس ہزار روپے
0107.wav|ننانوے ہزار نو سو ننانوے روپے
0108.wav|ایک لاکھ روپے
0109.wav|ایک لاکھ پچھتر ہزار روپے
0110.wav|دو لاکھ پچاس ہزار روپے
0111.wav|پانچ لاکھ روپے
0112.wav|نو لاکھ ننانوے ہزار نو سو ننانوے روپے
0113.wav|دس لاکھ روپے
0114.wav|پچیس لاکھ روپے
0115.wav|پچاس لاکھ روپے
0116.wav|ایک کروڑ روپے
0117.wav|دو کروڑ پچاس لاکھ روپے
0118.wav|پانچ کروڑ روپے
